Source,Target,Type,Label
person_106872042,person_2691,Undirected,MS_Holkham_Gr_66
person_106872042,person_2691,Undirected,MS_Holkham_Gr_73
person_106872042,person_1339,Undirected,MS_Holkham_Gr_28
person_106872042,person_2691,Undirected,MS_Holkham_Gr_77
person_106872042,person_2691,Undirected,MS_Holkham_Gr_28
person_106872042,person_2691,Undirected,MS_Holkham_Gr_15
person_106872042,person_2691,Undirected,MS_Holkham_Gr_17
person_106872042,person_2691,Undirected,MS_Holkham_Gr_16
person_106872042,person_2691,Undirected,MS_Holkham_Gr_13
person_106872042,person_106872042,Undirected,MS_Holkham_Gr_39
person_106872042,person_2691,Undirected,MS_Holkham_Gr_39
person_106872042,person_2917,Undirected,MS_Holkham_Gr_28
person_1074,person_803,Undirected,MS_Lat_misc_d_74
person_1074,person_63873133,Undirected,MS_Lat_misc_d_74
person_1074,person_38465038,Undirected,MS_Lat_misc_d_74
person_1074,person_46796537,Undirected,MS_Lat_misc_d_74
person_1074,person_708,Undirected,MS_Lat_misc_d_74
person_1074,person_39249508,Undirected,MS_Lat_misc_d_74
person_107982066,person_821,Undirected,MS_Lat_class_e_48
person_1080,person_55959601,Undirected,MS_Lat_th_f_15
person_1089,person_311,Undirected,MS_Lat_liturg_f_29
person_1103102,person_44408726,Undirected,MS_Lat_th_f_20
person_1103102,person_168027631,Undirected,MS_Lat_th_f_20
person_1103102,person_37714110,Undirected,MS_Lat_th_f_20
person_1115,person_315945273,Undirected,MS_Lyell_2
person_1115,person_64157046,Undirected,MS_Lyell_2
person_1115,person_62916116,Undirected,MS_Lyell_2
person_1117,person_41970552,Undirected,MS_Gough_Liturg_19
person_1126,person_54940373,Undirected,MS_Laud_Misc_740
person_1126,person_3382,Undirected,MS_Laud_Misc_740
person_1126,person_3383,Undirected,MS_Laud_Misc_740
person_1132,person_52779630,Undirected,MS_Lat_liturg_f_24
person_114,person_271,Undirected,MS_Lat_th_d_31
person_1144,person_44557546,Undirected,MS_Buchanan_e_9
person_1144,person_886,Undirected,MS_Buchanan_e_9
person_1144,person_678,Undirected,MS_Buchanan_e_9
person_1155,person_17500732,Undirected,MS_Holkham_misc_49
person_1155,person_100215915,Undirected,MS_Holkham_misc_49
person_1155,person_8145335,Undirected,MS_Holkham_misc_49
person_116,person_8145335,Undirected,MS_Holkham_misc_8
person_116,person_8145335,Undirected,MS_Holkham_misc_15
person_116,person_17500732,Undirected,MS_Holkham_misc_15
person_116,person_8145335,Undirected,MS_Holkham_misc_6
person_116,person_8145335,Undirected,MS_Holkham_misc_20
person_116,person_17500732,Undirected,MS_Holkham_misc_6
person_1169,person_28,Undirected,MS_Lat_th_d_27
person_1169,person_1191,Undirected,MS_Lat_th_d_27
person_1170,person_100218411,Undirected,MS_Bodl_521
person_1170,person_3404,Undirected,MS_Bodl_521
person_1170,person_3403,Undirected,MS_Bodl_521
person_1170,person_37266689,Undirected,MS_Bodl_521
person_1170,person_7488414,Undirected,MS_Bodl_521
person_1170,person_3405,Undirected,MS_Bodl_521
person_1177,person_2837388,Undirected,MS_Lat_liturg_e_38
